iso639_3,name,alt_names,iso639_1,iso639_2b,iso639_2t,scope,type,glottocode,family,family_glottocode,is_isolate,countries,latitude,longitude
mkw,Kituba (Congo),Kikoongo;Kituba;Munukutuba,,,,individual,living,kitu1245,Atlantic-Congo,atla1278,false,CG,-4.15654,14.5648
ktu,Kituba (Democratic Republic of Congo),Kibulamatadi;Kikongo Commercial;Kikongo Simplifié;Kikongo Ya Leta;Kikongo-Kutuba;Kileta;Kituba,,,,individual,living,kitu1246,Atlantic-Congo,atla1278,false,CD,-2.29601,17.1548
izm,Kizamani,,,,,individual,living,kiza1239,Atlantic-Congo,atla1278,false,NG,10.16457,8.26269
lda,Kla-Dan,,,,,individual,living,klad1234,Mande,mand1469,false,CI,7.22812,-8.24535
klu,Klao,Klaoh;Klau;Krawi;Kroo;Kru,,,,individual,living,klao1243,Kru,krua1234,false,LR;SL,5.05,-8.85
fuj,Ko,Fungor;Fungur;Kau,,,,individual,living,kooo1244,Heibanic,heib1242,false,SD,10.7321,31.5399
kib,Koalib,Abri;Kawalib;Kowalib;Lgalige;Ngirere;Nirere;Rere,,,,individual,living,koal1240,Heibanic,heib1242,false,SD,11.69648,30.47166
kcj,Kobiana,Buy;Cobiana;Guboy;Uboi,,,,individual,living,kobi1241,Atlantic-Congo,atla1278,false,GW;SN,13.5269,-14.4527
okc,Kobo,Ikumbure,,,,individual,living,ikum1241,Atlantic-Congo,atla1278,false,CD,-1.29357,28.31546
kwp,Kodia,Kwadia;Kwadya,,,,individual,living,kodi1246,Kru,krua1234,false,CI,5.49671,-6.31915
kcs,Koenoem,Kanam;Korenoem,,,,individual,living,koen1239,Afro-Asiatic,afro1255,false,NG,9.01129,9.46622
kso,Kofa,Bata;Batta;Bete;Birsa;Demsa Bata;Dii;Dunu;Gboati;Gbwata;Gbwate;Gwate;Koffa;Kota;Muleng,,,,individual,living,kofa1236,,,false,NG,9.76068,12.8757
kwl,Kofyar,Nigeria,,,,individual,living,kofy1242,Afro-Asiatic,afro1255,false,NG,8.79947,9.15279
bcs,Kohumono,Bahumono;Ediba;Ekumuru;Humono;Ohumono,,,,individual,living,kohu1244,Atlantic-Congo,atla1278,false,NG,5.92596,7.96202
kou,Koke,Khoke;Koké,,,,individual,living,koke1240,Atlantic-Congo,atla1278,false,TD,10.6829,18.4121
kzn,Kokola,Kokhola,,,,individual,living,koko1267,Atlantic-Congo,atla1278,false,MW;MZ,-16.2681,35.5767
biw,Kol (Cameroon),Bekol;Bikele-Bikay;Bikele-Bikeng;Kol,,,,individual,living,kolc1235,Atlantic-Congo,atla1278,false,CM,3.65994,12.8574
klc,Kolbila,Kolbilari;Kolbili;Kolbilla;Kolena;Zoono,,,,individual,living,kolb1240,Atlantic-Congo,atla1278,false,CM,8.26797,13.2707
bkm,Kom (Cameroon),Bamekon;Bikom;Itangikom;Kom;Kong;Nkom,,,,individual,living,komc1235,Atlantic-Congo,atla1278,false,CM,6.2596,10.3348
kmy,Koma,Kuma,,,,individual,living,koma1266,Atlantic-Congo,atla1278,false,CM;NG,8.70976,12.7282
kmw,Komo (Democratic Republic of Congo),Kikomo;Kikumo;Kikumu;Kikuumu;Komo;Kumo;Kumu;Kuumu,,,,individual,living,komo1260,Atlantic-Congo,atla1278,false,CD,-0.76333,26.7144
xom,Komo (Sudan),Central Koma;Como;Gokwom;Hayahaya;Koma;Koma of Daga;Komo;Madiin;South Koma,,,,individual,living,komo1258,Koman,koma1264,false,ET;SD;SS,8.94162,34.0939
kon,Kongo,Koongo;Laari;San Salvador Kongo,kg,kon,kon,macrolanguage,living,,Atlantic-Congo,,false,AO;CD;CG,,
xon,Konkomba,Kom Komba;Kpankpam;Kpəkpam;Likpakpaln,,,,individual,living,konk1269,Atlantic-Congo,atla1278,false,GH;TG,9.82224,0.2783
kma,Konni,Koma;Komung;Koni,,,,individual,living,konn1242,Atlantic-Congo,atla1278,false,GH,10.2368,-1.54376
knu,Kono (Guinea),Kono;Kpelle,,,,individual,living,kono1267,Mande,mand1469,false,CI;GN,7.85002,-8.25793
klk,Kono (Nigeria),Kono;Konu;Kowono;Kwono,,,,individual,living,kono1264,Atlantic-Congo,atla1278,false,NG,10.436,8.32193
